CLOUD,Targets,Transporters,Enzymes,Carriers
CLOUD052,6331;4864;9734;23435;3458;3350;9367;5914;79915;2099;2101;6326;196;2908;367;9970;7157;6323,23657;9429;6530,1544;1543;1576,
CLOUD053,7153;9221;4720;4722;374291;3458;6790;3091;55704;55847;8493;1717;65975;10682;596;598;4313;51426;1128;7150;2034;7157;2064;2534,5243;5243;5243;4363;4363;8714;368;368;9429;85413;89845;11194;8647;10928;1244;213;28234,1576;1576;1565;1565;1555;1545;873;874;10327;8644;1728;7498;4842;4843;4846;5447;5243;5243;5243;1544;1557;1559;28234,8644;5243;5243;5243;213
CLOUD054,6340;6337;6338;6339;3717;9734;22926;5650;3091;5914;7068;3205;5467;79915;4780;2737;2099;2101;9971;196;8795;5468;861;55775;865;367;6256;3315;2548;7157;1511;834,,1544;1544;3417,
CLOUD055,1131;1128,,1565;1576;2326,
CLOUD056,1080;768;23632;763;11238;2859;4780;5871;765;771;760;8314;762;766,6557;6558;6560;57468;6554;6554;9356;9356;9376;55867;10864;6579;5243,5743;9356;9356;9376;759;5243,5243
CLOUD057,5423;672;4193;4194;580;3717;8202;367;9970;7157;55775;5422,6580;89845;2030,978;1576;1633;4907;1635;2030;1544;1559;1565;1557,6580
CLOUD058,4988;4985;4986;5443;801;9970;1814;5142;154;2475;3357;6323;2101;6326;65975;6328;3274;7253;55775;7010;367;10280;7157,773;5243;6532;3757;6580,1576;1558;1555;1565;5243;1588,5243;6580
CLOUD059,781;783;776;779;10242;778;140;3725;3091;8856;5914;51099;3778;2737;135;4780;389816;259249;6323;2101;6326;440503;1080;2100;2099;23435;196;10951;3784;3276;4300;6328;3553;3779;2908;55775;4193;4194;5347;3172;27345;51053;367;9970;3315;7157;4088;7421,775;5243;3757,1576;1576;1577;1551;1544;5243;1557;1559;1565;1588;3417,5243
CLOUD060,3352;3351;3355;3350;3363;3354;3356;3358;3359;3361;3362;361;1813,6579;5243;9429;10599;55244,4128;5243;55244,5243;10599;55244
CLOUD061,91039;54878;2191,5243;9376,1803;1576;1558;5243;9376,5243
CLOUD062,5467;79915;2099;2101;1080;5693;11343;389816;5305;5732;1128;2671;140;3725;729230;150;151;8856;154;367;162466;4780;3357;3248;2737;4790;440503;185;187;3779;196;10951;3276;134864;1233;1234;1235;216;5346;5347;9970;3315;3320;7421;10002;1812;1813;1814;1815;5914;8989;3362;55775;22861;2395;5468;861;351;865;51053;5999;4986;4988;10392;7066;51099;10663;2475;65975;6595;54737;3553;7157;3579;5595,5243;6531,217;1621;1571;1559;1576;1577;1544;1557;1588;5243;2744;874,5243
CLOUD063,7153;641;10987;5893;51752;5292;778;776;10460;4088;7525;7066;3358;11168;50487;4137;79915;5932;7341;779;29128;7486;5429;4790;65975;1460;4154;55775;2237;4286;11201;10951;8648;695;4300;405;54737;4313;5594;8795;123228;6495;3553;51426;1459;8932;10213;29127;1128;1129;3458;6311;1132;5999;2034;7155;7157;3064;1457;7468;1956;2064;2534,5243;5243;5243;4363;4363;9429;6530;3757;6580;55244;28234;146802;775,1571;1545;1576;5243;5243;5243;1544;410;2744;55244;28234,5243;5243;5243;6580;55244
CLOUD064,2099;2099;2100;2100;10682;5578;367;8856;2104;10280;2101;4160;4161;7253;1128;1129;1131;1132;1133;624;5241;134;135;140;3725;146;150;151;153;155;7334;6311;84650;2737;1717;1718;10951;3784;3274;4300;6865;6869;5338;3458;1812;1813;1814;1815;5914;3356;3357;3358;3362;29994;5467;51053;4985;4986;4159;4988;65975;80854;7157;1956,3757;5243;5243;5243;9429;1244;6530;6531;6532;8647,1565;1565;1576;1576;1576;1577;1551;1559;1559;1557;1555;1555;1543;1544;1545;1545;2326;2328;1558;1066;1588;1548;1571;54575;6817;5243;5243;5243;5337;3417;5742,6462;5243;5243;5243
CLOUD065,54878;91039,4363;353189;9376,1803;1576;1577;9376,
CLOUD066,10242;3779;8912;27345;2100;2101;387129;367;5468,29881;54658;5243;1244;10599;64240;8714;9429;64241,6646;290;1558;54658;54659;7366;7364;1576;5243,5243;10599
CLOUD067,3360;3359;3356,3757,1551;1576;1576;1577;1544;1548;1555;1557;1558;1559;1565,
CLOUD068,3356;1813;1814;1815;148;147;3352;3269;150;151;151;152;3358;3350;1812;3363;1131;778;1816;1133;146;3354;3361;3362;3351;10280;3355;3357;2099;2741;3005;2101;3778;779;3274;1128;1129;1132;776,6532;775;3757;6582;55244;5243,1565;1565;1576;1576;1577;1551;55244;5243,6582;55244;5243
CLOUD069,3352;3351;150;3357;1814;146;147;148;1813;151;152;3354;3355;3356;3358;3362;3363;2101;7253;367;1812,5243;6582;55244;146802,1576;1576;5243;55244,5243;6582;55244
CLOUD070,6716;2741;2908;367,3757,6715;1576;1577,
CLOUD071,5159;2321;3815;3791;2324;2322;1436;5156;8780;2050;23043;5127;5128;5129;100130827;10769;2051;9748;27347;27330;25;27;4638;8737;285220;22983;8711;4140;558;9263;4145;5170;6195;57396;51765;6198;6714;3643;120892;3645;140469;11329;779;3654;695;6732;1613;150094;5606;8788;2868;1111;30811;56924;5218;57787;140901;7272;9833;7786;83942;5747;3702;4215;4216;2580;1147;23678;640;7297;57118;23683;6788;6789;6790;7301;6793;6794;6795;5260;5261;4751;53904;9874;659;83732;4233;122011;91807;9891;51135;5290;1195;1196;5293;5294;25778;1455;4217;53944;6331;340156;2241;2242;23235;4293;2081;4296;8394;8396;208;1456;2260;2261;166614;2263;8408;57551;2268;10461;55589;389840;388228;6885;9448;8428;238;5871;5587;80122;8445;10494;23604;204851;11011;2872;255239;776;25865;778;9943;780;3458;6416;9262;3716;8986;84254;3717;11040;147746;3718;8999;7465;8491;818;814;815;816;817;4914;4915;4916;5598;2185;57144;6196;6197;22848;140609;1859;28996;415116;22858;50488;57172;54101;4921;8536;23012;5979;3932;10298;9252;7525;5753;11113;658;100533105;2264;51347;85366;8569;6011;81788;9706;8576;9024;10114;25989;9475;2444;1019;4139;10645;3480;9113;7075;1956;9201;9128;26524;55781;1452;1453;1454;11183;11184;1457;1459;29110;65975;5562;5563;9149;54861;167359;11200;85443;5063;1612;5578;10188;11213;6733;26576;5585;5586;440275;5588;9175;4058;2011;10746;84446;80351;5601;5602;4067;5604;5605;2534;5607;5608;2044;5610;1020;10733;3055;4593;8899;9641;6093;2042;131890;9212;2045;1022;2047,10257;5243;1244;9429;3757;775,1577;1551;1576;5243;4846;43,5243
CLOUD072,4306;367;5241;2908;786;8856;5914;7068;2737;2099;2101;2100;3553;5467;5468;55775;4193;4194;9970;9971;7157,1244;5243;6579;55244,1585;6715;1558;1584;1584;5243;1588;55244;1557,6462;5243;55244
CLOUD073,5148;5149;134;135;5136;5137;5139;5140;5141;5142;5143;5144;5145;5146;5147;5150;5152;5153;10846;5158;50940,10257;10057;89845;11309;3757;28234,8654;1576;1577;1551;1559;1559;1557;1557;1565;1565;1543;1571;1571;28234,11309
CLOUD074,135;367;9970;3358,,1544;1576;4128,
CLOUD075,8972;2548;6476;278;277,,279;276,
CLOUD076,51426;9734;3315;4780;367;3091;7157;2859,,1312;1312;54600;1544;1565,
CLOUD077,10392;4886;4887;8743;2908;79915;4780;3630;5725;688;2099;2101;65975;55775;3553;7253;351;51053;367;7153;9970;7155;7157;6774;4088;64127,476;6579;353189;5243;213;6531,1583;1576;5243;3417;486,476;5243;213;477;478;480;481;482;483;486
CLOUD078,7852;5423;5594;55775;1813,9356;10864;2030;3177;213,1633;1559;1565;1576;64816;1577;1551;9356;2030,213
CLOUD079,5139;6401;5138;5141;5142;5143;5144;5140;7253;55775,,8654;5742,
CLOUD080,6256;5914;5915;5916;6257;6258;10242;5347;7941;7398;4137;389816;51053;11069;2099;7157;3779;2648;27345;7421,213;8647,1592;1588,5947;213
CLOUD081,23569;2737,5243,1548;1544;1576;1576;5243;1559;1557;1565,5243
CLOUD082,153;154;155;5594;5295;5296;8503;146;147;148;1813;1814;1815;2475;2737;10951;7253;7421,,6647;1543,
