CLOUD,KeGG_DrugID,KeGG_Assigned_Pathways,Via_Target_Assigned
CLOUD011,D00559,hsa04080;hsa04728;hsa05012,path:hsa04750;path:hsa05231;path:hsa04726;path:hsa04728;path:hsa04976;path:hsa04540;path:hsa04020;path:hsa04024;path:hsa04015;path:hsa05031;path:hsa05012;path:hsa04080;path:hsa04022;path:hsa04742;path:hsa05032;path:hsa05034;path:hsa05030
CLOUD012,D00524,hsa04080;hsa04725,path:hsa04151;path:hsa04750;path:hsa05223;path:hsa04611;path:hsa04510;path:hsa04926;path:hsa04923;path:hsa04921;path:hsa04660;path:hsa04662;path:hsa05321;path:hsa04664;path:hsa04666;path:hsa05167;path:hsa05231;path:hsa04971;path:hsa05132;path:hsa05211;path:hsa00562;path:hsa00565;path:hsa00564;path:hsa04722;path:hsa04724;path:hsa04726;path:hsa05133;path:hsa04932;path:hsa04933;path:hsa04066;path:hsa04730;path:hsa04530;path:hsa05166;path:hsa05110;path:hsa04912;path:hsa05224;path:hsa04012;path:hsa04668;path:hsa05323;path:hsa04810;path:hsa04137;path:hsa05120;path:hsa04360;path:hsa04217;path:hsa05225;path:hsa04919;path:hsa05142;path:hsa04625;path:hsa04020;path:hsa04620;path:hsa04621;path:hsa04024;path:hsa04370;path:hsa04915;path:hsa05418;path:hsa04270;path:hsa05320;path:hsa00592;path:hsa00590;path:hsa00591;path:hsa04659;path:hsa04658;path:hsa04015;path:hsa04014;path:hsa04970;path:hsa04972;path:hsa04010;path:hsa04650;path:hsa05140;path:hsa04657;path:hsa04070;path:hsa04072;path:hsa05031;path:hsa05205;path:hsa05206;path:hsa04310;path:hsa05203;path:hsa05161;path:hsa05200;path:hsa04080;path:hsa04380;path:hsa05170;path:hsa05164;path:hsa04210;path:hsa04064;path:hsa04725;path:hsa05169;path:hsa04742;path:hsa05214;path:hsa04918;path:hsa05210;path:hsa05030;path:hsa04913;path:hsa04911;path:hsa04670;path:hsa05168
CLOUD013,D02995,hsa04080;hsa04726;hsa04728,path:hsa00380;path:hsa04750;path:hsa04923;path:hsa00830;path:hsa04971;path:hsa04726;path:hsa04728;path:hsa00140;path:hsa05414;path:hsa04976;path:hsa04540;path:hsa04152;path:hsa04261;path:hsa04020;path:hsa04024;path:hsa04270;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa00860;path:hsa04924;path:hsa00591;path:hsa04015;path:hsa04014;path:hsa04970;path:hsa00232;path:hsa05031;path:hsa05204;path:hsa05012;path:hsa04080;path:hsa00053;path:hsa04022;path:hsa04742;path:hsa05032;path:hsa05034;path:hsa05030;path:hsa00040
CLOUD014,,,path:hsa04726;path:hsa04020;path:hsa04024;path:hsa04080;path:hsa04742
CLOUD015,D02922,ko00340,path:hsa00380;path:hsa00340;path:hsa04750;path:hsa00830;path:hsa05231;path:hsa04726;path:hsa04728;path:hsa00140;path:hsa04540;path:hsa04714;path:hsa05225;path:hsa04020;path:hsa04024;path:hsa00980;path:hsa00982;path:hsa00590;path:hsa00591;path:hsa00232;path:hsa05031;path:hsa05204;path:hsa05206;path:hsa05012;path:hsa04080;path:hsa04725;path:hsa05032;path:hsa05034;path:hsa05030;path:hsa04913
CLOUD016,D00596,hsa03320;hsa04152,path:hsa04151;path:hsa00380;path:hsa00340;path:hsa05223;path:hsa04611;path:hsa05226;path:hsa04928;path:hsa04923;path:hsa00830;path:hsa04920;path:hsa00330;path:hsa04971;path:hsa04211;path:hsa04726;path:hsa04728;path:hsa04931;path:hsa04932;path:hsa04964;path:hsa00140;path:hsa00360;path:hsa05222;path:hsa05221;path:hsa04976;path:hsa04146;path:hsa05016;path:hsa04152;path:hsa04714;path:hsa04922;path:hsa02010;path:hsa04919;path:hsa00260;path:hsa04024;path:hsa00071;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa05160;path:hsa00590;path:hsa00591;path:hsa04966;path:hsa04659;path:hsa04972;path:hsa00061;path:hsa04979;path:hsa00232;path:hsa03320;path:hsa05031;path:hsa05204;path:hsa04310;path:hsa05202;path:hsa00910;path:hsa05200;path:hsa04380;path:hsa00350;path:hsa04216;path:hsa05216;path:hsa04918;path:hsa05034;path:hsa05030;path:hsa04911
CLOUD017,D07447,hsa04960,path:hsa04151;path:hsa05230;path:hsa04610;path:hsa00380;path:hsa00340;path:hsa04750;path:hsa05223;path:hsa05220;path:hsa05226;path:hsa00830;path:hsa05167;path:hsa00330;path:hsa05231;path:hsa04971;path:hsa04722;path:hsa04211;path:hsa04726;path:hsa04728;path:hsa05218;path:hsa05219;path:hsa00140;path:hsa04110;path:hsa00360;path:hsa05222;path:hsa05166;path:hsa04976;path:hsa05224;path:hsa05014;path:hsa05016;path:hsa04810;path:hsa04137;path:hsa04115;path:hsa05217;path:hsa04260;path:hsa05225;path:hsa04919;path:hsa04261;path:hsa05215;path:hsa05213;path:hsa00260;path:hsa04020;path:hsa04024;path:hsa04371;path:hsa05418;path:hsa04270;path:hsa00980;path:hsa00982;path:hsa04960;path:hsa05160;path:hsa00591;path:hsa04015;path:hsa04970;path:hsa04972;path:hsa04010;path:hsa04071;path:hsa00232;path:hsa05031;path:hsa05205;path:hsa05204;path:hsa05206;path:hsa04310;path:hsa05203;path:hsa05202;path:hsa05161;path:hsa05012;path:hsa05162;path:hsa05200;path:hsa05165;path:hsa04080;path:hsa00350;path:hsa04210;path:hsa04064;path:hsa04216;path:hsa04218;path:hsa04725;path:hsa05163;path:hsa05169;path:hsa05216;path:hsa04742;path:hsa05214;path:hsa05212;path:hsa05210;path:hsa05034;path:hsa05030;path:hsa05168
CLOUD018,D08050,,path:hsa04151;path:hsa04726;path:hsa05143;path:hsa04810;path:hsa05144;path:hsa04261;path:hsa05142;path:hsa04020;path:hsa04620;path:hsa04024;path:hsa04270;path:hsa00980;path:hsa00982;path:hsa05152;path:hsa04970;path:hsa05162;path:hsa04080;path:hsa05164;path:hsa04022;path:hsa04725;path:hsa05168
CLOUD019,D00769,,path:hsa00380;path:hsa04611;path:hsa05226;path:hsa00830;path:hsa04726;path:hsa00140;path:hsa04976;path:hsa02010;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa00590;path:hsa00591;path:hsa00232;path:hsa05204;path:hsa05206
CLOUD020,D08625,hsa00260;hsa00330;hsa00340;hsa00350;hsa00360;hsa00380;hsa00982;hsa04726;hsa04728,path:hsa00380;path:hsa00340;path:hsa04750;path:hsa00830;path:hsa00330;path:hsa04726;path:hsa04728;path:hsa04932;path:hsa00140;path:hsa00360;path:hsa04976;path:hsa05016;path:hsa04540;path:hsa04714;path:hsa00260;path:hsa04020;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa00590;path:hsa00591;path:hsa00232;path:hsa05031;path:hsa05204;path:hsa04080;path:hsa00350;path:hsa05034;path:hsa05030
