Drug1,Drug2,MACCS_TanimotoSimilarity
CLOUD195,CLOUD036,0.0923076923077
CLOUD195,CLOUD037,0.241379310345
CLOUD195,CLOUD030,0.0892857142857
CLOUD195,CLOUD031,0.173913043478
CLOUD195,CLOUD032,0.3
CLOUD195,CLOUD033,0.232876712329
CLOUD195,CLOUD038,0.469696969697
CLOUD195,CLOUD039,0.394366197183
CLOUD201,CLOUD081,0.232876712329
CLOUD038,CLOUD009,0.34328358209
CLOUD038,CLOUD008,0.416666666667
CLOUD038,CLOUD007,0.357142857143
CLOUD038,CLOUD006,0.360655737705
CLOUD038,CLOUD005,0.310810810811
CLOUD038,CLOUD004,0.174603174603
CLOUD038,CLOUD003,0.394366197183
CLOUD038,CLOUD002,0.5
CLOUD038,CLOUD001,0.36231884058
CLOUD201,CLOUD082,0.245283018868
CLOUD201,CLOUD085,0.214285714286
CLOUD201,CLOUD084,0.314285714286
CLOUD244,CLOUD077,0.243902439024
CLOUD244,CLOUD076,0.349397590361
CLOUD244,CLOUD075,0.20253164557
CLOUD244,CLOUD074,0.147058823529
CLOUD244,CLOUD073,0.568181818182
CLOUD201,CLOUD087,0.271186440678
CLOUD244,CLOUD071,0.295454545455
CLOUD244,CLOUD070,0.278481012658
CLOUD201,CLOUD086,0.241758241758
CLOUD244,CLOUD079,0.125
CLOUD244,CLOUD078,0.258426966292
CLOUD111,CLOUD058,0.314285714286
CLOUD111,CLOUD059,0.277777777778
CLOUD111,CLOUD056,0.27380952381
CLOUD111,CLOUD057,0.225
CLOUD111,CLOUD054,0.147540983607
CLOUD111,CLOUD055,0.375
CLOUD111,CLOUD052,0.206349206349
CLOUD111,CLOUD053,0.461538461538
CLOUD111,CLOUD050,0.247058823529
CLOUD111,CLOUD051,0.489795918367
CLOUD198,CLOUD169,0.18
CLOUD198,CLOUD168,0.138461538462
CLOUD198,CLOUD165,0.391304347826
CLOUD198,CLOUD164,0.240506329114
CLOUD198,CLOUD167,0.245901639344
CLOUD198,CLOUD166,0.229508196721
CLOUD198,CLOUD161,0.177777777778
CLOUD198,CLOUD160,0.316455696203
CLOUD198,CLOUD163,0.292307692308
CLOUD198,CLOUD162,0.142857142857
CLOUD131,CLOUD098,0.254237288136
CLOUD131,CLOUD099,0.421052631579
CLOUD131,CLOUD090,0.409638554217
CLOUD131,CLOUD091,0.21875
CLOUD131,CLOUD092,0.436781609195
CLOUD131,CLOUD093,0.543209876543
CLOUD131,CLOUD094,0.435483870968
CLOUD131,CLOUD095,0.439393939394
CLOUD131,CLOUD096,0.64406779661
CLOUD131,CLOUD097,0.246376811594
CLOUD218,CLOUD133,0.274509803922
CLOUD218,CLOUD132,0.1875
CLOUD218,CLOUD131,0.292307692308
CLOUD218,CLOUD130,0.52
CLOUD218,CLOUD137,0.338235294118
CLOUD218,CLOUD136,0.235294117647
CLOUD218,CLOUD135,0.194805194805
CLOUD218,CLOUD134,0.30985915493
CLOUD218,CLOUD139,0.363636363636
CLOUD218,CLOUD138,0.25974025974
CLOUD176,CLOUD024,0.460526315789
CLOUD176,CLOUD025,0.195652173913
CLOUD176,CLOUD026,0.409090909091
CLOUD176,CLOUD027,0.280898876404
CLOUD176,CLOUD020,0.161764705882
CLOUD176,CLOUD021,0.428571428571
CLOUD176,CLOUD022,0.264367816092
CLOUD176,CLOUD023,0.27397260274
CLOUD176,CLOUD028,0.488095238095
CLOUD176,CLOUD029,0.240506329114
CLOUD120,CLOUD058,0.272727272727
