Drug1,Drug2,d_A,d_B,d_AB,s_AB,AB_Min,AB_Mean
CLOUD001,CLOUD002,1.0,0,2.33333333333,1.83333333333,2.5,2.5
CLOUD001,CLOUD003,1.0,2.4,2.14285714286,0.442857142857,2.0,2.4
CLOUD001,CLOUD004,1.0,2.0,2.4,0.9,2.5,2.6666666666666665
CLOUD001,CLOUD005,1.0,1.6,2.0,0.7,2.0,2.2
CLOUD001,CLOUD006,1.0,1.75757575758,1.97142857143,0.592640692641,0.5,2.1818181818181817
CLOUD001,CLOUD007,1.0,0,None,None,None,None
CLOUD001,CLOUD008,1.0,0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD009,1.0,0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD010,1.0,2.0,2.0,0.5,2.0,2.0
CLOUD001,CLOUD011,1.0,1.8,2.0,0.6,2.0,2.0
CLOUD001,CLOUD012,1.0,2.0,1.92307692308,0.423076923077,1.0,2.272727272727273
CLOUD001,CLOUD013,1.0,0,3.0,2.5,3.0,3.0
CLOUD001,CLOUD014,1.0,0,None,None,None,None
CLOUD001,CLOUD015,1.0,3.0,1.25,-0.75,1.0,1.5
CLOUD001,CLOUD016,1.0,2.16666666667,2.0,0.416666666667,1.5,2.25
CLOUD001,CLOUD017,1.0,2.33333333333,1.625,-0.0416666666667,1.0,2.0
CLOUD001,CLOUD018,1.0,2.0,2.16666666667,0.666666666667,2.0,2.5
CLOUD001,CLOUD019,1.0,0,None,None,None,None
CLOUD001,CLOUD020,1.0,1.33333333333,1.2,0.0333333333333,1.0,1.3333333333333333
CLOUD001,CLOUD021,1.0,0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD022,1.0,0,None,None,None,None
CLOUD001,CLOUD023,1.0,1.62962962963,2.10344827586,0.788633461047,1.0,2.259259259259259
CLOUD001,CLOUD024,1.0,1.16176470588,1.85714285714,0.776260504202,0.5,1.9705882352941178
CLOUD001,CLOUD025,1.0,1.54166666667,1.88461538462,0.613782051282,1.0,2.0
CLOUD001,CLOUD026,1.0,2.0,2.0,0.5,2.0,2.0
CLOUD001,CLOUD027,1.0,0,None,None,None,None
CLOUD001,CLOUD028,1.0,0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD029,1.0,2.33333333333,2.42857142857,0.761904761905,2.0,2.5833333333333335
CLOUD001,CLOUD030,1.0,0,None,None,None,None
CLOUD001,CLOUD031,1.0,1.28571428571,1.5625,0.419642857143,0.5,1.8214285714285714
CLOUD001,CLOUD032,1.0,1.33333333333,2.18181818182,1.01515151515,2.0,2.2222222222222223
CLOUD001,CLOUD033,1.0,0,None,None,None,None
CLOUD001,CLOUD034,1.0,0,None,None,None,None
CLOUD001,CLOUD035,1.0,0,None,None,None,None
CLOUD001,CLOUD036,1.0,0,None,None,None,None
CLOUD001,CLOUD037,1.0,1.8,2.14814814815,0.748148148148,1.0,2.3
CLOUD001,CLOUD038,1.0,1.5,2.0,0.75,2.0,2.125
CLOUD001,CLOUD039,1.0,0,None,None,None,None
CLOUD001,CLOUD040,1.0,2.0,2.0,0.5,2.0,2.0
CLOUD001,CLOUD041,1.0,1.0,1.6,0.6,1.5,1.8333333333333333
CLOUD001,CLOUD042,1.0,2.16666666667,2.375,0.791666666667,2.0,2.6666666666666665
CLOUD001,CLOUD043,1.0,1.375,1.2,0.0125,0.0,1.75
CLOUD001,CLOUD044,1.0,2.3,2.09090909091,0.440909090909,1.0,2.35
CLOUD001,CLOUD045,1.0,1.47058823529,2.36842105263,1.13312693498,2.0,2.4705882352941178
CLOUD001,CLOUD046,1.0,1.81818181818,1.69230769231,0.283216783217,1.0,1.8636363636363635
CLOUD001,CLOUD047,1.0,1.81818181818,2.07692307692,0.667832167832,2.0,2.227272727272727
CLOUD001,CLOUD048,1.0,1.6,1.33333333333,0.0333333333333,0.0,1.75
