Drug1,Drug2,Batch,InteractionType,Value,MahalanobisDistance
CLOUD171,CLOUD129,Batch2,Emergent,2.3819518934,6.68950900069
CLOUD194,CLOUD143,Batch1,Emergent,2.07325434099,4.23194850658
CLOUD196,CLOUD128,Batch2,Emergent,0.511805906462,4.48799700562
CLOUD074,CLOUD049,Batch1,Emergent,1.74984710756,16.3002523302
CLOUD196,CLOUD086,Batch1,Emergent,1.18826295816,3.97384819417
CLOUD233,CLOUD148,Batch2,Emergent,0.939029560168,11.6045975824
CLOUD261,CLOUD194,Batch1,Emergent,1.54983199806,4.79792500414
CLOUD241,CLOUD076,Batch2,Emergent,1.02206058105,13.7666841075
CLOUD169,CLOUD154,Batch1,Emergent,1.41396184381,8.88481424706
CLOUD170,CLOUD143,Batch2,Emergent,1.74072602438,6.62830491954
CLOUD186,CLOUD117,Batch1,Emergent,1.17429968776,3.8127920095
CLOUD199,CLOUD066,Batch1,Emergent,3.46199344453,13.918834383
CLOUD238,CLOUD049,Batch1,Emergent,1.26276500943,8.51039471032
CLOUD196,CLOUD067,Batch1,Emergent,1.54265804359,6.87225955246
CLOUD261,CLOUD209,Batch1,Emergent,1.47261457167,4.92369248787
CLOUD147,CLOUD063,Batch2,Emergent,1.79232314744,8.31858519677
CLOUD194,CLOUD031,Batch1,Emergent,1.81023977362,4.08363745632
CLOUD125,CLOUD021,Batch2,Emergent,0.542370872838,9.80631642418
CLOUD156,CLOUD112,Batch1,Emergent,1.43921307027,4.17850215627
CLOUD159,CLOUD073,Batch2,Emergent,0.490567938843,5.53114266473
CLOUD132,CLOUD026,Batch1,Emergent,0.98998183645,6.94280838725
CLOUD122,CLOUD112,Batch1,Emergent,1.55746456279,6.21638836325
CLOUD122,CLOUD114,Batch1,Emergent,1.38176957896,6.17244952618
CLOUD211,CLOUD197,Batch1,Emergent,1.17034230771,5.32838391449
CLOUD234,CLOUD077,Batch2,Emergent,1.22614970885,7.66290802333
CLOUD084,CLOUD077,Batch1,Emergent,1.44171543509,4.02897234315
CLOUD259,CLOUD076,Batch1,Emergent,1.49568758141,11.4634996538
CLOUD199,CLOUD014,Batch1,Emergent,1.38667125144,6.60556112042
CLOUD222,CLOUD209,Batch2,Emergent,1.2569869679,13.4153831007
CLOUD046,CLOUD019,Batch2,Emergent,0.63185003832,6.5806684975
CLOUD089,CLOUD062,Batch2,Emergent,0.737802011992,8.32313760341
CLOUD153,CLOUD046,Batch2,Emergent,0.786342781896,11.275617186
CLOUD262,CLOUD112,Batch2,Emergent,0.669597973262,5.78209931481
CLOUD089,CLOUD064,Batch1,Emergent,1.18933191846,4.11418930155
CLOUD262,CLOUD057,Batch2,Emergent,0.740149350444,3.09750921786
CLOUD215,CLOUD077,Batch1,Emergent,1.2894375935,3.16351170836
CLOUD097,CLOUD063,Batch1,Emergent,2.04221483749,6.67134453891
CLOUD112,CLOUD072,Batch2,Emergent,0.72170405552,9.54967669541
CLOUD112,CLOUD070,Batch2,Emergent,1.19147318337,12.248372929
CLOUD156,CLOUD070,Batch1,Emergent,2.03317528082,6.95970406113
CLOUD158,CLOUD021,Batch2,Emergent,0.495373763099,5.99975858472
CLOUD131,CLOUD063,Batch2,Emergent,0.979379733439,3.55009249591
CLOUD104,CLOUD103,Batch2,Emergent,1.1791506968,4.29823055022
CLOUD117,CLOUD034,Batch2,Emergent,0.911085877698,7.75157485856
CLOUD264,CLOUD229,Batch2,Emergent,0.839200949437,10.1181114058
CLOUD143,CLOUD140,Batch1,Emergent,1.7186518818,4.55530435769
CLOUD222,CLOUD112,Batch2,Emergent,0.686437719035,10.8612062262
CLOUD051,CLOUD050,Batch1,Emergent,1.34871238426,7.75864283497
CLOUD219,CLOUD101,Batch1,Emergent,1.1727112861,4.58251771686
CLOUD241,CLOUD143,Batch1,Emergent,1.39702010751,4.35276692396
CLOUD180,CLOUD143,Batch1,Emergent,1.72914711127,7.58626720408
CLOUD220,CLOUD199,Batch1,Emergent,2.6089239842,15.3395360328
CLOUD213,CLOUD129,Batch2,Emergent,2.0204931186,3.00387498499
CLOUD143,CLOUD138,Batch1,Emergent,2.09968814862,4.24902857842
CLOUD187,CLOUD063,Batch2,Emergent,1.03082709218,3.84307380016
CLOUD179,CLOUD066,Batch2,Emergent,1.14641787963,4.62784796695
CLOUD223,CLOUD103,Batch1,Emergent,1.3706107135,7.59277867965
CLOUD144,CLOUD103,Batch2,Emergent,0.901859264331,5.82132498683
CLOUD168,CLOUD049,Batch1,Emergent,1.37669453493,8.65553200209
CLOUD229,CLOUD068,Batch1,Emergent,1.14549704802,7.75167733199
CLOUD213,CLOUD195,Batch1,Emergent,1.26740609016,8.95682503846
CLOUD211,CLOUD128,Batch1,Emergent,1.72837853885,12.0005846228
CLOUD209,CLOUD156,Batch1,Emergent,1.46368697814,4.8180969289
CLOUD199,CLOUD122,Batch1,Emergent,1.610836995,7.01504233715
CLOUD210,CLOUD112,Batch2,Emergent,0.894565103758,7.00924061044
CLOUD229,CLOUD109,Batch2,Emergent,0.533803904215,5.72187893325
CLOUD077,CLOUD016,Batch2,Emergent,0.80552127361,3.66454917902
CLOUD247,CLOUD201,Batch1,Emergent,1.4561054228,5.5044725083
CLOUD218,CLOUD063,Batch1,Emergent,1.59940512629,3.54733671245
