Drug1,Drug2,Batch,Plate,Well,S1,S2,C,Expected,Difference
CLOUD008,CLOUD003,Batch2,1315070,P22,0.032358263781973415,0.03924587418631666,0.5154363503767928,0.0703342096190151,0.4451021407577777
CLOUD008,CLOUD004,Batch2,1315104,B18,0.032358263781973415,0,0,0.032358263781973415,-0.032358263781973415
CLOUD008,CLOUD005,Batch1,1315043,B18,0.13561789353582246,0.048701000642614484,0.28210777563572936,0.17771416705819884,0.10439360857753052
CLOUD008,CLOUD006,Batch1,1315027,M21,0.13561789353582246,0.1878139303091107,0.5584320205636647,0.2979608942397278,0.2604711263239369
CLOUD008,CLOUD007,Batch1,1315002,I03,0.13561789353582246,0.10912643768606309,0.14715872578720277,0.22994483361383347,-0.0827861078266307
CLOUD009,CLOUD001,Batch1,1315014,A03,0.3235498550838677,0.2966125034425777,0.48499036078215363,0.5241934260215362,-0.03920306523938255
CLOUD009,CLOUD002,Batch1,1315036,O04,0.3235498550838677,0.2708292350264258,0.46295786284770035,0.5067523303650187,-0.0437944675173183
CLOUD009,CLOUD003,Batch2,1315103,G21,0.06895713475407189,0.03924587418631666,0.2512762336925696,0.10549672590558136,0.14577950778698823
CLOUD009,CLOUD004,Batch1,1315020,B07,0.3235498550838677,0.15465589522323198,0.32617277150463597,0.42816685781975716,-0.10199408631512119
CLOUD009,CLOUD005,Batch1,1315046,B20,0.3235498550838677,0.048701000642614484,0.26282933994308266,0.35649365402612493,-0.09366431408304227
CLOUD009,CLOUD006,Batch2,1315106,L01,0.06895713475407189,0.04795667558004488,0.3756583745239446,0.1136068553937863,0.26205151913015834
CLOUD009,CLOUD007,Batch2,1315077,I20,0.06895713475407189,0.027145288064176504,0,0.09423056153126888,-0.09423056153126888
CLOUD009,CLOUD008,Batch1,1315060,B17,0.3235498550838677,0.13561789353582246,0.31882860552648484,0.4152885988193954,-0.09645999329291055
CLOUD010,CLOUD001,Batch1,1315025,H07,0.42531901220967594,0.2966125034425777,0,0.5957765786790175,-0.5957765786790175
CLOUD010,CLOUD002,Batch2,1315096,A10,0.1756475704291927,0,0.2427680090754397,0.1756475704291927,0.06712043864624698
CLOUD010,CLOUD003,Batch2,1315115,G12,0.1756475704291927,0.03924587418631666,0.013451097966129272,0.20800000216531306,-0.19454890419918378
CLOUD010,CLOUD004,Batch1,1315005,K18,0.42531901220967594,0.15465589522323198,0.2141742403378316,0.5141968148441598,-0.3000225745063282
CLOUD010,CLOUD005,Batch2,1315104,O09,0.1756475704291927,0.007941009642654713,0.22858763471355653,0.1821937610213603,0.04639387369219622
CLOUD010,CLOUD006,Batch1,1315023,O17,0.42531901220967594,0.1878139303091107,0.5538419168273203,0.5332521072004988,0.020589809626821554
CLOUD010,CLOUD007,Batch1,1315003,B09,0.42531901220967594,0.10912643768606309,0.4941705682548425,0.48803190121314194,0.006138667041700574
CLOUD010,CLOUD008,Batch2,1315108,M16,0.1756475704291927,0.032358263781973415,0.05032007130702547,0.20232218379455558,-0.1520021124875301
CLOUD010,CLOUD009,Batch2,1315115,A17,0.1756475704291927,0.06895713475407189,0.017502633498095888,0.23249255199995342,-0.21498991850185753
CLOUD011,CLOUD001,Batch2,1315118,J04,0,0.027428895551414093,0,0.027428895551414093,-0.027428895551414093
CLOUD011,CLOUD002,Batch2,1315083,C10,0,0,0.06693136698808859,0,0.06693136698808859
CLOUD011,CLOUD003,Batch1,1315040,B15,0.23568215498813128,0.30842437039077075,0.5051868172220692,0.47141640511434757,0.03377041210772158
CLOUD011,CLOUD004,Batch2,1315108,P21,0,0,0.6313102665910381,0,0.6313102665910381
CLOUD011,CLOUD005,Batch1,1315034,G12,0.23568215498813128,0.048701000642614484,0,0.27290519884921605,-0.27290519884921605
CLOUD011,CLOUD006,Batch1,1315028,H05,0.23568215498813128,0.1878139303091107,0.06086477554392725,0.3792316934652001,-0.3183669179212728
CLOUD011,CLOUD007,Batch1,1315047,H05,0.23568215498813128,0.10912643768606309,0,0.319089438674165,-0.319089438674165
CLOUD011,CLOUD008,Batch2,1315065,B01,0,0.032358263781973415,0.21805364233044333,0.032358263781973415,0.1856953785484699
CLOUD011,CLOUD009,Batch2,1315107,O04,0,0.06895713475407189,0.37241714609837134,0.06895713475407189,0.30346001134429945
CLOUD011,CLOUD010,Batch1,1315028,P02,0.23568215498813128,0.42531901220967594,0.7007252363903425,0.5607610658428075,0.13996417054753496
CLOUD012,CLOUD001,Batch1,1315010,A20,0.14296205951397356,0.2966125034425777,0.5281373359037914,0.3971702285868048,0.13096710731698663
CLOUD012,CLOUD002,Batch1,1315013,I08,0.14296205951397356,0.2708292350264258,0.03057009088405394,0.37507298932442756,-0.34450289844037363
CLOUD012,CLOUD003,Batch1,1315054,E15,0.14296205951397356,0.30842437039077075,0.10125768842375835,0.4072934467093791,-0.3060357582856208
CLOUD012,CLOUD004,Batch2,1315107,F06,0.03411392917915901,0,0.20306296086216685,0.03411392917915901,0.16894903168300784
CLOUD012,CLOUD005,Batch2,1315069,E21,0.03411392917915901,0.007941009642654713,0.14431569564865093,0.04178403978125318,0.10253165586739775
